70010010,Abraham Lincoln___Lincoln Letters.txt
46109783,Abraham Lincoln___Lincoln's First Inaugural Address.txt
74095647,Abraham Lincoln___Lincoln's Gettysburg Address, given November 19, 1863.txt
90104228,Abraham Lincoln___Lincoln's Inaugurals, Addresses and Letters (Selections).txt
65193850,Abraham Lincoln___Lincoln's Second Inaugural Address.txt
31042364,Abraham Lincoln___Speeches and Letters of Abraham Lincoln, 1832-1865.txt
98234206,Abraham Lincoln___State of the Union Addresses.txt
28982295,Abraham Lincoln___The Emancipation Proclamation.txt
39950985,Abraham Lincoln___The Life and Public Service of General Zachary Taylor: An Address.txt
10264961,Abraham Lincoln___The Writings of Abraham Lincoln, Volume 1: 1832-1843.txt
97367852,Abraham Lincoln___The Writings of Abraham Lincoln, Volume 2: 1843-1858.txt
67886643,Abraham Lincoln___The Writings of Abraham Lincoln, Volume 3.txt
75282138,Abraham Lincoln___The Writings of Abraham Lincoln, Volume 4.txt
13062587,Abraham Lincoln___The Writings of Abraham Lincoln, Volume 5: 1858-1862.txt
4798230,Abraham Lincoln___The Writings of Abraham Lincoln, Volume 6: 1862-1863.txt
63638013,Abraham Lincoln___The Writings of Abraham Lincoln, Volume 7: 1863-1865.txt
73305397,Agatha Christie___The Mysterious Affair at Styles.txt
17639092,Agatha Christie___The Secret Adversary.txt
80280602,Albert Einstein___Relativity: The Special and General Theory.txt
62380037,Albert Einstein___Sidelights on Relativity.txt
27361295,Aldous Huxley___Crome Yellow.txt
85621202,Aldous Huxley___Mortal Coils.txt
96414682,Aldous Huxley___The Defeat of Youth and Other Poems.txt
56200032,Alexander Pope___An Essay on Criticism.txt
74610344,Alexander Pope___Essay on Man.txt
13807154,Alexander Pope___The Poetical Works of Alexander Pope, Volume 1.txt
59452031,Alexander Pope___The Poetical Works of Alexander Pope, Volume 2.txt
80619581,Alexander Pope___The Rape of the Lock and Other Poems.txt
49718886,Alexander Pope___The Works of Alexander Pope, Volume 1.txt
7484236,Alfred Russel Wallace___Contributions to the Theory of Natural Selection.txt
11136892,Alfred Russel Wallace___Darwinism.txt
98767615,Alfred Russel Wallace___Is Mars Habitable?.txt
95511328,Alfred Russel Wallace___Island Life.txt
58816205,Alfred Russel Wallace___The Malay Archipelago, Volume 1.txt
10707491,Alfred Russel Wallace___The Malay Archipelago, Volume 2.txt
87333355,Ambrose Bierce___A Cynic Looks at Life.txt
10421872,Ambrose Bierce___A Son of the Gods, and A Horseman in the Sky.txt
38172032,Ambrose Bierce___An Occurrence at Owl Creek Bridge.txt
89202170,Ambrose Bierce___Black Beetles in Amber.txt
30492703,Ambrose Bierce___Can Such Things Be?.txt
73780771,Ambrose Bierce___Cobwebs From an Empty Skull.txt
58486707,Ambrose Bierce___Fantastic Fables.txt
80279788,Ambrose Bierce___Present at a Hanging and Other Ghost Stories.txt
11537478,Ambrose Bierce___Shapes of Clay.txt
80377000,Ambrose Bierce___The Collected Works of Ambrose Bierce, Volume 1.txt
44565867,Ambrose Bierce___The Collected Works of Ambrose Bierce, Volume 2.txt
90344371,Ambrose Bierce___The Collected Works of Ambrose Bierce, Volume 8.txt
11681791,Ambrose Bierce___The Damned Thing.txt
43331510,Ambrose Bierce___The Devil's Dictionary.txt
